customer_id,age,gender,income,purchase_date,product_id,quantity,spend_amount,payment_method,is_returning,lat,lon
C5289,,Unknown,9999999.0,32/13/2025,P0043,1,999999.0,Online Wallet,yes,,
C8510,,Female,9999999.0,32/13/2025,P0062,3,30.55,Cash,yes,,
C1374,,Other,31692.31,32/13/2025,P0038,-5,76.13,Card,True,57.92396,-164.562164
C2041,,Female,9999999.0,32/13/2025,P0067,1,748.26,Crypt0,yes,-88.818349,52.597736
C9092,63.0,Unknown,9999999.0,2025-06-16 00:00:00,P0094,-5,584.09,Cash,False,,
C6752,,Unknown,9999999.0,32/13/2025,P0030,-5,999999.0,Crypt0,False,,
C5631,,Unknown,33705.1,2025-06-26 00:00:00,P0003,-5,999999.0,Card,yes,48.293052,154.846171
C5434,,Female,70711.02,32/13/2025,P0024,-5,999999.0,Online Wallet,True,,
C7314,24.0,Male,9999999.0,2025-05-10 00:00:00,P0022,-5,999999.0,Online Wallet,yes,24.918223,-136.103662
C1135,,Male,9999999.0,32/13/2025,P0019,8,392.08,Online Wallet,True,-82.868374,64.366958
C6925,69.0,Unknown,106411.11,2025-06-03 00:00:00,P0002,-5,782.83,Cash,False,-29.10216,-0.135914
C7153,,Unknown,69467.35,32/13/2025,P0047,9,402.99,Online Wallet,False,,91.446252
C5475,,Other,74773.38,2025-05-14 00:00:00,P0070,5,910.93,Crypt0,True,,-152.337508
C9453,55.0,Female,9999999.0,32/13/2025,P0052,2,999999.0,Online Wallet,False,-12.505485,126.300044
C9507,32.0,Unknown,100701.43,32/13/2025,P0100,-5,999999.0,Card,True,,162.055001
C6966,24.0,Female,9999999.0,2025-05-25 00:00:00,P0077,-5,291.96,Online Wallet,yes,-36.830635,66.110387
C1045,,Other,80793.6,2025-04-09 00:00:00,P0099,-5,289.05,Crypt0,True,,
C8452,49.0,Female,9999999.0,32/13/2025,P0002,1,999999.0,Cash,yes,,
C6416,,Unknown,9999999.0,2025-04-28 00:00:00,P0045,-5,810.5,Cash,yes,,-64.27546
C8725,,Female,64230.08,32/13/2025,P0072,-5,846.78,Crypt0,yes,77.193011,
C6011,,Other,57472.71,2025-05-27 00:00:00,P0051,6,999999.0,Crypt0,False,,
C6776,,Other,113183.54,2025-04-19 00:00:00,P0038,-5,448.31,Card,False,,
C1465,,Male,9999999.0,2025-04-26 00:00:00,P0031,-5,34.9,Crypt0,yes,,169.737294
C4393,,Unknown,9999999.0,32/13/2025,P0046,8,999999.0,Card,yes,11.570082,-143.185782
C9247,,Male,9999999.0,2025-04-09 00:00:00,P0038,-5,96.93,Cash,False,-20.207432,
C5925,21.0,Other,9999999.0,2025-06-14 00:00:00,P0021,8,686.46,Cash,yes,-61.657241,
C4615,,Female,88187.93,2025-05-23 00:00:00,P0060,-5,520.99,Online Wallet,True,-78.493893,99.564219
C2985,54.0,Unknown,84639.73,32/13/2025,P0066,-5,691.21,Cash,yes,-83.110222,
C7710,57.0,Unknown,47457.24,32/13/2025,P0083,-5,999999.0,Online Wallet,False,88.396929,-34.939487
C6641,,Other,26361.21,2025-05-06 00:00:00,P0050,1,665.57,Card,False,,178.931031
C3324,,Unknown,9999999.0,32/13/2025,P0084,-5,825.55,Cash,False,,-75.59308
C6575,63.0,Other,105761.76,2025-06-26 00:00:00,P0047,3,599.82,Cash,True,53.579885,-9.226259
C4688,,Male,9999999.0,32/13/2025,P0046,3,538.87,Online Wallet,yes,,
C6973,,Male,9999999.0,2025-04-10 00:00:00,P0092,8,999999.0,Cash,True,,
C3083,,Other,60435.13,32/13/2025,P0099,-5,726.37,Cash,False,-66.472053,
C5846,,Other,9999999.0,32/13/2025,P0044,10,592.12,Cash,False,71.186747,
C8606,62.0,Female,109382.27,2025-04-22 00:00:00,P0085,5,902.02,Online Wallet,True,,-115.8826
C8025,,Unknown,9999999.0,2025-04-12 00:00:00,P0022,-5,999999.0,Crypt0,False,-51.118864,
C8168,,Unknown,9999999.0,2025-04-04 00:00:00,P0009,5,351.4,Cash,True,,
C8792,23.0,Male,45735.58,32/13/2025,P0035,-5,552.1,Online Wallet,yes,87.912952,86.185783
C1971,,Male,9999999.0,2025-05-05 00:00:00,P0001,-5,999999.0,Online Wallet,yes,,
C5730,,Other,78541.53,32/13/2025,P0035,-5,170.01,Cash,True,,
C7998,50.0,Unknown,9999999.0,2025-04-04 00:00:00,P0098,2,862.94,Online Wallet,yes,-0.86579,
C3172,57.0,Male,51695.82,2025-04-10 00:00:00,P0012,-5,180.82,Card,False,,69.153822
C1651,54.0,Female,96821.27,32/13/2025,P0053,-5,999999.0,Cash,True,,
C3193,44.0,Male,9999999.0,32/13/2025,P0060,-5,523.12,Online Wallet,yes,,
C9208,35.0,Unknown,9999999.0,2025-04-20 00:00:00,P0003,-5,999999.0,Online Wallet,True,-81.027681,121.298453
C3440,28.0,Unknown,9999999.0,32/13/2025,P0052,3,421.28,Crypt0,True,-19.43707,-125.21364
C5334,20.0,Male,9999999.0,2025-04-01 00:00:00,P0086,-5,802.75,Card,True,56.208451,-132.887608
C7401,,Female,9999999.0,2025-04-07 00:00:00,P0017,-5,999999.0,Cash,yes,,
