customer_id,age,gender,income,purchase_date,product_id,quantity,spend_amount,payment_method,is_returning,lat,lon,is_q1,is_q2,is_q3,inferred
C9780,63.0,Male,9999999.0,,P0087,-5,401.52,Cash,False,,95.443613,True,False,False,False
C3141,39.0,Other,9999999.0,,P0080,-5,390.34,Cash,True,,-104.596269,True,False,False,False
C1137,33.0,Female,68243.78,,P0054,-5,455.67,Online Wallet,True,85.676588,,True,False,False,True
C6050,36.0,Other,9999999.0,2025-01-29,P0047,-5,432.52000000000004,Cash,True,-27.48663,,True,False,False,True
C3291,38.0,Other,9999999.0,2025-01-09,P0042,8,389.71,Cash,True,39.138414,92.582331,True,False,False,False
C9192,,Male,9999999.0,2025-03-28,P0059,-5,142.22,Online Wallet,False,-16.455405,-144.366285,True,False,False,False
C4060,,Other,49277.68,2025-03-06,P0028,2,647.64,Online Wallet,False,,152.839655,True,False,False,False
C3162,,Female,9999999.0,2025-01-17,P0044,-5,650.08,Crypto,True,26.517399,,True,False,False,False
C9300,,Female,26436.37,,P0096,-5,470.93000000000006,Cash,False,6.276387,,True,False,False,True
C5027,,Other,9999999.0,2025-01-27,P0009,2,536.67,Card,False,-25.647887,-34.517112,True,False,False,False
C6677,70.0,Other,104988.33,,P0080,-5,350.74,Online Wallet,True,-88.973434,-21.016684,True,False,False,False
C1241,38.0,Male,104033.32,,P0097,1,68.59833333333333,Card,False,-54.490903,-59.922172,True,False,False,True
C2340,,Male,9999999.0,,P0065,6,894.52,Crypto,True,,115.910014,True,False,False,False
C6529,40.0,Other,9999999.0,,P0021,1,994.32,Cash,True,,,True,False,False,False
C3776,,Female,63717.82,,P0053,1,426.04,Cash,True,-81.400966,-24.012479,True,False,False,False
C6565,,Other,9999999.0,,P0038,3,213.86062500000003,Cash,False,,-131.144654,True,False,False,True
C4132,64.0,Male,9999999.0,2025-03-17,P0035,4,276.71900000000005,Card,True,,,True,False,False,True
C3927,44.0,Male,9999999.0,,P0033,-5,553.27,Crypto,True,,-157.572986,True,False,False,False
C8908,34.0,Other,9999999.0,,P0012,-5,519.21,Online Wallet,False,,-122.57217,True,False,False,False
C3683,,Male,34458.36,,P0043,-5,535.06,Cash,True,86.11753,-58.928432,True,False,False,True
C9649,,Male,9999999.0,,P0049,-5,781.16,Online Wallet,False,,26.219507,True,False,False,False
C5062,,Other,9999999.0,2025-01-06,P0100,10,599.4428571428572,Cash,True,-73.498714,-143.880664,True,False,False,True
C9173,64.0,Male,9999999.0,2025-01-01,P0032,-5,58.99,Crypto,True,-53.23053,-52.42684,True,False,False,False
C4828,32.0,Other,77291.1,2025-03-23,P0081,3,205.94229166666668,Crypto,True,-76.748606,175.885535,True,False,False,True
C8658,19.0,Male,112513.68,2025-03-22,P0066,-5,98.13,Card,True,,118.212623,True,False,False,False
C4939,,Male,71079.12,,P0073,-5,511.22,Cash,True,,-53.577307,True,False,False,True
C4041,,Other,9999999.0,2025-02-18,P0091,9,907.52,Online Wallet,True,,91.194451,True,False,False,False
C4100,26.0,Other,9999999.0,2025-03-05,P0014,-5,341.54,Card,False,78.972896,,True,False,False,False
C5616,62.0,Other,9999999.0,2025-03-07,P0026,-5,459.77,Online Wallet,True,,,True,False,False,True
C4072,,Male,9999999.0,,P0099,4,364.024,Crypto,True,,19.959515,True,False,False,True
C5029,,Female,9999999.0,,P0066,-5,951.03,Cash,False,,-43.730263,True,False,False,False
C8650,36.0,Other,69372.28,,P0041,-5,236.36,Cash,True,,,True,False,False,False
C3371,,Male,9999999.0,,P0062,9,948.34,Crypto,False,,73.76439,True,False,False,False
C1516,51.0,Female,9999999.0,,P0100,-5,696.51,Crypto,True,,,True,False,False,True
C6272,25.0,Female,32703.46,,P0052,2,151.76,Card,False,,-161.590603,True,False,False,False
C1636,,Other,31573.66,2025-01-18,P0042,9,687.37,Card,True,,,True,False,False,False
C1007,,Other,9999999.0,,P0046,-5,550.55,Cash,False,41.586498,-178.625232,True,False,False,False
C9657,25.0,Male,64405.34,,P0037,-5,962.95,Cash,True,-2.883846,,True,False,False,False
C8709,,Other,9999999.0,,P0098,-5,337.98,Card,True,,,True,False,False,True
C2088,42.0,Other,35501.49,,P0086,-5,463.22,Cash,False,-22.134392,,True,False,False,False
C2419,66.0,Other,9999999.0,2025-02-03,P0007,10,1003.49375,Card,True,,,True,False,False,True
C2583,,Male,99684.45,,P0001,3,366.14,Cash,False,-24.662449,-121.178547,True,False,False,False
C8184,,Other,9999999.0,,P0043,-5,535.06,Online Wallet,True,,,True,False,False,True
C1920,,Female,9999999.0,,P0073,8,541.5542857142857,Cash,False,,,True,False,False,True
C1562,,Other,9999999.0,2025-03-16,P0082,10,762.38,Crypto,True,,,True,False,False,False
C1213,52.0,Male,9999999.0,,P0013,-5,368.16,Cash,False,16.979463,,True,False,False,False
C6068,69.0,Other,9999999.0,2025-01-21,P0062,-5,373.38,Crypto,False,70.451182,-47.405867,True,False,False,False
C6001,19.0,Other,9999999.0,2025-02-07,P0095,4,449.53142857142853,Crypto,True,,,True,False,False,True
C2422,42.0,Male,9999999.0,,P0025,-5,566.74,Online Wallet,False,-2.015541,,True,False,False,True
C5835,69.0,Female,9999999.0,,P0054,-5,455.67,Crypto,False,,36.456819,True,False,False,True
C6944,,Female,64569.16,2025-02-28,P0033,-5,508.63,Online Wallet,False,,,True,False,False,True
C1381,46.0,Female,9999999.0,,P0015,5,366.34999999999997,Crypto,True,,17.780557,True,False,False,True
C1491,56.0,Other,86358.13,2025-01-08,P0083,8,762.74,Crypto,False,,34.313221,True,False,False,False
C9267,46.0,Other,29684.34,2025-03-02,P0031,10,783.0666666666666,Crypto,True,,,True,False,False,True
C7739,,Other,9999999.0,,P0069,7,968.94,Card,True,,,True,False,False,False
C8540,,Other,49336.77,2025-03-31,P0041,-5,447.71,Cash,True,,132.049064,True,False,False,False
C7335,35.0,Other,100478.29,2025-01-07,P0055,-5,526.265,Online Wallet,False,-67.973669,13.321082,True,False,False,True
C5612,57.0,Other,53724.61,2025-01-23,P0076,9,952.9842857142858,Crypto,True,,,True,False,False,True
C5582,,Female,9999999.0,,P0063,4,159.61,Cash,True,32.26452,-99.111829,True,False,False,False
C8142,50.0,Female,30542.24,2025-01-30,P0008,5,625.85,Crypto,True,-31.044537,,True,False,False,False
C1739,42.0,Other,9999999.0,,P0030,9,974.01375,Cash,False,-2.015526,,True,False,False,True
C5490,,Other,119334.23,,P0099,-5,441.84,Crypto,False,14.449539,,True,False,False,True
C7372,25.0,Other,9999999.0,,P0048,8,368.1,Cash,False,-70.612858,,True,False,False,False
C2979,42.0,Other,9999999.0,2025-02-04,P0099,9,536.89,Card,True,-7.135838,-4.849158,True,False,False,False
C6087,,Male,111403.64,2025-02-19,P0090,9,893.4525,Online Wallet,True,,,True,False,False,True
C8960,,Male,96226.75,2025-01-28,P0066,6,983.61,Cash,True,,,True,False,False,False
C3433,,Male,95714.82,2025-02-09,P0084,6,590.97,Online Wallet,True,21.735815,167.862383,True,False,False,True
C6602,,Other,31330.84,,P0058,-5,693.51,Online Wallet,True,,,True,False,False,False
C3299,54.0,Female,84455.24,2025-01-04,P0013,-5,127.69,Card,True,,154.735477,True,False,False,False
C2663,,Other,69735.27,2025-03-07,P0072,2,215.75666666666666,Cash,True,72.259743,-77.18237,True,False,False,True
