customer_id,age,gender,income,purchase_date,product_id,quantity,spend_amount,payment_method,is_returning,lat,lon,is_q1,is_q2,is_q3
C4060,,Other,49277.68,2025-03-06,P0028,2,647.64,Online Wallet,False,,152.839655,True,False,False
C6677,70.0,Other,104988.33,,P0080,-5,350.74,Online Wallet,True,-88.973434,-21.016684,True,False,False
C3776,,Female,63717.82,,P0053,1,426.04,Cash,True,-81.400966,-24.012479,True,False,False
C8658,19.0,Male,112513.68,2025-03-22,P0066,-5,98.13,Card,True,,118.212623,True,False,False
C8650,36.0,Other,69372.28,,P0041,-5,236.36,Cash,True,,,True,False,False
C6272,25.0,Female,32703.46,,P0052,2,151.76,Card,False,,-161.590603,True,False,False
C1636,,Other,31573.66,2025-01-18,P0042,9,687.37,Card,True,,,True,False,False
C9657,25.0,Male,64405.34,,P0037,-5,962.95,Cash,True,-2.883846,,True,False,False
C2088,42.0,Other,35501.49,,P0086,-5,463.22,Cash,False,-22.134392,,True,False,False
C2583,,Male,99684.45,,P0001,3,366.14,Cash,False,-24.662449,-121.178547,True,False,False
C1491,56.0,Other,86358.13,2025-01-08,P0083,8,762.74,Crypto,False,,34.313221,True,False,False
C8540,,Other,49336.77,2025-03-31,P0041,-5,447.71,Cash,True,,132.049064,True,False,False
C8142,50.0,Female,30542.24,2025-01-30,P0008,5,625.85,Crypto,True,-31.044537,,True,False,False
C8960,,Male,96226.75,2025-01-28,P0066,6,983.61,Cash,True,,,True,False,False
C6602,,Other,31330.84,,P0058,-5,693.51,Online Wallet,True,,,True,False,False
C3299,54.0,Female,84455.24,2025-01-04,P0013,-5,127.69,Card,True,,154.735477,True,False,False
C3210,,Male,31977.13,2025-02-12,P0080,6,30.67,Crypto,False,,,True,False,False
C3773,,Male,62031.68,2025-01-14,P0073,6,835.42,Online Wallet,True,,-85.659067,True,False,False
C2249,44.0,Other,58697.75,2025-03-28,P0053,4,280.39,Crypto,False,,-19.888665,True,False,False
C4786,18.0,Other,101219.63,,P0002,8,799.98,Card,False,,,True,False,False
C7225,,Other,81252.46,,P0091,4,961.38,Crypto,True,,-164.056932,True,False,False
C9513,44.0,Male,75118.31,2025-03-21,P0099,4,561.3,Crypto,True,,,True,False,False
C1872,61.0,Female,114267.91,2025-02-07,P0056,10,937.9,Online Wallet,False,,161.930703,True,False,False
C4931,29.0,Other,95305.18,2025-02-03,P0038,-5,796.72,Card,False,27.349015,4.9498,True,False,False
C9418,,Other,21284.26,2025-02-21,P0089,-5,971.37,Cash,True,,,True,False,False
C8516,31.0,Male,78979.18,,P0021,-5,403.23,Cash,True,,105.68286,True,False,False
C1366,27.0,Female,43760.76,2025-02-02,P0079,1,300.4,Online Wallet,False,,-151.942283,True,False,False
C4577,,Male,34738.65,,P0023,9,223.81,Card,False,-54.875346,-128.507629,True,False,False
C2393,37.0,Female,84313.56,2025-01-11,P0038,3,884.44,Card,True,,117.255851,True,False,False
C1208,,Male,94113.78,,P0072,2,821.42,Online Wallet,True,,,True,False,False
C1614,36.0,Male,37999.54,2025-02-21,P0076,-5,515.24,Cash,True,,,True,False,False
C8585,,Other,45457.3,2025-02-13,P0031,-5,766.73,Online Wallet,False,-84.408479,10.88536,True,False,False
C6575,,Other,114113.78,2025-01-06,P0078,-5,150.54,Crypto,False,-53.546224,,True,False,False
C4976,52.0,Female,70524.75,2025-01-29,P0081,4,85.03,Online Wallet,True,-71.227936,,True,False,False
C2220,46.0,Female,21998.27,,P0091,9,123.6,Online Wallet,False,21.85603,,True,False,False
C5679,,Male,103747.1,2025-02-15,P0095,5,269.12,Cash,True,,173.751937,True,False,False
C6712,,Male,29598.06,,P0047,10,993.07,Card,True,-84.878608,,True,False,False
