customer_id,age,gender,income,purchase_date,product_id,quantity,spend_amount,payment_method,is_returning,lat,lon,is_q1,is_q2,is_q3,inferred
C1137,33.0,Female,68243.78,,P0054,-5,455.67,Online Wallet,True,85.676588,,True,False,False,True
C4060,,Other,49277.68,2025-03-06,P0028,2,647.64,Online Wallet,False,,152.839655,True,False,False,False
C9300,,Female,26436.37,,P0096,-5,470.93000000000006,Cash,False,6.276387,,True,False,False,True
C6677,70.0,Other,104988.33,,P0080,-5,350.74,Online Wallet,True,-88.973434,-21.016684,True,False,False,False
C1241,38.0,Male,104033.32,,P0097,1,68.59833333333333,Card,False,-54.490903,-59.922172,True,False,False,True
C3776,,Female,63717.82,,P0053,1,426.04,Cash,True,-81.400966,-24.012479,True,False,False,False
C3683,,Male,34458.36,,P0043,-5,535.06,Cash,True,86.11753,-58.928432,True,False,False,True
C4828,32.0,Other,77291.1,2025-03-23,P0081,3,205.94229166666668,Crypto,True,-76.748606,175.885535,True,False,False,True
C8658,19.0,Male,112513.68,2025-03-22,P0066,-5,98.13,Card,True,,118.212623,True,False,False,False
C4939,,Male,71079.12,,P0073,-5,511.22,Cash,True,,-53.577307,True,False,False,True
C8650,36.0,Other,69372.28,,P0041,-5,236.36,Cash,True,,,True,False,False,False
C6272,25.0,Female,32703.46,,P0052,2,151.76,Card,False,,-161.590603,True,False,False,False
C1636,,Other,31573.66,2025-01-18,P0042,9,687.37,Card,True,,,True,False,False,False
C9657,25.0,Male,64405.34,,P0037,-5,962.95,Cash,True,-2.883846,,True,False,False,False
C2088,42.0,Other,35501.49,,P0086,-5,463.22,Cash,False,-22.134392,,True,False,False,False
C2583,,Male,99684.45,,P0001,3,366.14,Cash,False,-24.662449,-121.178547,True,False,False,False
C6944,,Female,64569.16,2025-02-28,P0033,-5,508.63,Online Wallet,False,,,True,False,False,True
C1491,56.0,Other,86358.13,2025-01-08,P0083,8,762.74,Crypto,False,,34.313221,True,False,False,False
C9267,46.0,Other,29684.34,2025-03-02,P0031,10,783.0666666666666,Crypto,True,,,True,False,False,True
C8540,,Other,49336.77,2025-03-31,P0041,-5,447.71,Cash,True,,132.049064,True,False,False,False
C7335,35.0,Other,100478.29,2025-01-07,P0055,-5,526.265,Online Wallet,False,-67.973669,13.321082,True,False,False,True
C5612,57.0,Other,53724.61,2025-01-23,P0076,9,952.9842857142858,Crypto,True,,,True,False,False,True
C8142,50.0,Female,30542.24,2025-01-30,P0008,5,625.85,Crypto,True,-31.044537,,True,False,False,False
C5490,,Other,119334.23,,P0099,-5,441.84,Crypto,False,14.449539,,True,False,False,True
C6087,,Male,111403.64,2025-02-19,P0090,9,893.4525,Online Wallet,True,,,True,False,False,True
C8960,,Male,96226.75,2025-01-28,P0066,6,983.61,Cash,True,,,True,False,False,False
C3433,,Male,95714.82,2025-02-09,P0084,6,590.97,Online Wallet,True,21.735815,167.862383,True,False,False,True
C6602,,Other,31330.84,,P0058,-5,693.51,Online Wallet,True,,,True,False,False,False
C3299,54.0,Female,84455.24,2025-01-04,P0013,-5,127.69,Card,True,,154.735477,True,False,False,False
C2663,,Other,69735.27,2025-03-07,P0072,2,215.75666666666663,Cash,True,72.259743,-77.18237,True,False,False,True
C2832,,Male,35394.78,,P0095,-5,519.875,Crypto,True,,,True,False,False,True
C3210,,Male,31977.13,2025-02-12,P0080,6,30.67,Crypto,False,,,True,False,False,False
C8793,,Other,73388.9,,P0037,1,102.27714285714286,Online Wallet,True,-85.75363,,True,False,False,True
C3773,,Male,62031.68,2025-01-14,P0073,6,835.42,Online Wallet,True,,-85.659067,True,False,False,False
C6512,24.0,Female,32630.16,2025-01-26,P0094,-5,501.635,Online Wallet,False,-34.913089,,True,False,False,True
C2249,44.0,Other,58697.75,2025-03-28,P0053,4,280.39,Crypto,False,,-19.888665,True,False,False,False
C4786,18.0,Other,101219.63,,P0002,8,799.98,Card,False,,,True,False,False,False
C4813,,Male,77561.54,2025-03-21,P0033,-5,508.63,Crypto,False,,-127.823438,True,False,False,True
C7225,,Other,81252.46,,P0091,4,961.38,Crypto,True,,-164.056932,True,False,False,False
C9513,44.0,Male,75118.31,2025-03-21,P0099,4,561.3,Crypto,True,,,True,False,False,False
